map_number,robot_id,trajectory_id,t,x,y,vx,vy,speed
1,1,map_001_robot_1__control_points_20260806_125527,10.700000000000001,4.726315701274462,5.043486053012257,0.7729895107336162,0.20612238700577024,0.7999995138305722
1,1,map_001_robot_1__control_points_20260806_125527,10.8,4.8036284469579655,5.064046441421348,0.7734841832982227,0.20424917655468278,0.7999971924549388
1,1,map_001_robot_1__control_points_20260806_125527,10.9,4.881012537934106,5.084335888323194,0.7744048542790232,0.2007126439526843,0.7999927773257657
1,1,map_001_robot_1__control_points_20260806_125527,11.0,4.95850941781377,5.104188970211885,0.7757281089672787,0.19551122732583082,0.7999867117973916
1,1,map_001_robot_1__control_points_20260806_125527,11.100000000000001,5.036158159727563,5.12343813378836,0.7774291024430227,0.18860443247065106,0.7999797755399447
1,1,map_001_robot_1__control_points_20260806_125527,11.200000000000001,5.113995238302375,5.1419098567060155,0.7794793627216663,0.17991327675737523,0.7999730395848044
1,1,map_001_robot_1__control_points_20260806_125527,11.3,5.192054032271896,5.159420789139835,0.7818434939856438,0.16931960344311392,0.799967735097993
1,1,map_001_robot_1__control_points_20260806_125527,11.4,5.2703639370995035,5.175773777394638,0.7844745072487633,0.15666458990233423,0.7999650281433911
1,1,map_001_robot_1__control_points_20260806_125527,11.5,5.348948933721648,5.190753707120302,0.787394266993271,0.14118678217009162,0.7999521480397533
1,1,map_001_robot_1__control_points_20260806_125527,11.600000000000001,5.4278427904981585,5.204011133828656,0.7903975897149813,0.12316754338140612,0.7999366184704026
1,1,map_001_robot_1__control_points_20260806_125527,11.700000000000001,5.507028451664644,5.215387215796583,0.7932535704227242,0.10293030970504091,0.7999036664776423
1,1,map_001_robot_1__control_points_20260806_125527,11.8,5.586493504582703,5.224597195769665,0.7958841896270066,0.07968236160974485,0.799863064561643
1,1,map_001_robot_1__control_points_20260806_125527,11.9,5.666205289590045,5.231323688118532,0.7980510287299438,0.0530834210665887,0.7998145372828969
1,1,map_001_robot_1__control_points_20260806_125527,12.0,5.746103710328691,5.235213879982982,0.7994339946377984,0.022774001060163584,0.7997583178103469
1,1,map_001_robot_1__control_points_20260806_125527,12.100000000000001,5.826092088517606,5.235878488330564,0.7996117112073513,-0.011600779148750462,0.7996958589218821
1,1,map_001_robot_1__control_points_20260806_125527,12.200000000000001,5.906026052570162,5.232893724153232,0.7980440205144923,-0.05035279847711749,0.799630954249154
1,1,map_001_robot_1__control_points_20260806_125527,12.3,5.985700892620503,5.22580792863514,0.7940702463385136,-0.09364398805454499,0.7995728563544835
1,1,map_001_robot_1__control_points_20260806_125527,12.4,6.064840101837865,5.214164926542323,0.7870043630972461,-0.1409585782744145,0.7995281035231009
1,1,map_001_robot_1__control_points_20260806_125527,12.5,6.143101765239952,5.197616212980257,0.7769017990760823,-0.18893178039729364,0.7995446348089296
1,1,map_001_robot_1__control_points_20260806_125527,12.600000000000001,6.220220461653082,5.176378570462864,0.764623505678717,-0.23377645431798655,0.7995627155076083
1,1,map_001_robot_1__control_points_20260806_125527,12.700000000000001,6.296026466375697,5.15086092211666,0.7508322549038731,-0.2748925043835051,0.7995717378511261
1,1,map_001_robot_1__control_points_20260806_125527,12.8,6.370386912633856,5.121400069586163,0.7359988212450901,-0.312520505164688,0.7996019828780778
1,1,map_001_robot_1__control_points_20260806_125527,12.9,6.443226230624713,5.088356821083723,0.7206735309952705,-0.3465031165983561,0.7996466395162085
1,1,map_001_robot_1__control_points_20260806_125527,13.0,6.51452161883291,5.052099446266492,0.7053487648701307,-0.37683041693179575,0.7996987202870903
1,1,map_001_robot_1__control_points_20260806_125527,13.100000000000001,6.58429598359874,5.012990737697363,0.6904408064714431,-0.4036028229094697,0.7997523028422172
1,1,map_001_robot_1__control_points_20260806_125527,13.200000000000001,6.6526097801272,4.971378881684599,0.676284392950798,-0.4269946183738256,0.7998030909349115
1,1,map_001_robot_1__control_points_20260806_125527,13.3,6.7195528621889,4.927591814022598,0.6631364326655458,-0.4472221165287813,0.7998484542967303
1,1,map_001_robot_1__control_points_20260806_125527,13.4,6.78523706666031,4.881934458378843,0.6511852793964366,-0.46451824783873263,0.7998871612157438
1,1,map_001_robot_1__control_points_20260806_125527,13.5,6.849789918068187,4.834688164454852,0.6405625689138787,-0.4791137495631226,0.7999189894695475
1,1,map_001_robot_1__control_points_20260806_125527,13.600000000000001,6.913349580443088,4.786111708466217,0.631355482604512,-0.49122418808200763,0.7999443407960356
1,1,map_001_robot_1__control_points_20260806_125527,13.700000000000001,6.976061014589091,4.73644332683845,0.623618117584769,-0.5010416387635814,0.799963924408386
